Transaction creation date,Order number,Net amount,Item title,Quantity,Shipping and handling,Final Value Fee - fixed,Final Value Fee - variable,Gross transaction amount
30-Apr-22,06-08574-12483,19.44,Stiletto Eau de Parfum Spray Woman - 95% full,1,9.85,-0.3,-2.61,22.35
29-Apr-22,02-08569-51504,96.77,Fisher Paykel 900PT600 Humidifier Disinfection Kit ,1,0,-0.3,-12.88,109.95
28-Apr-22,20-08564-32053,26.19,"50 pk Case DeRoyal 30-701 Boot Standard .062"" Inside Dia Yellow 10/Pk,  exp 2023",1,0,-0.3,-3.46,29.95
27-Apr-22,06-08561-51711,189.62,Drager Infinity ID Flow Sensor Ref 6871980 5 each / 1 Box Blue or Clear,2,0,-0.3,-26.01,219.9
27-Apr-22,22-08557-08488,107.61,"50 pk Case DeRoyal 30-701 Boot Standard .062"" Inside Dia Yellow 10/Pk,  exp 2023",4,24,-0.3,-10.35,119.84
25-Apr-22,25-08549-91749,30.61,"Henry Schein Thermo-Forming Material Clear Mouthguard .150""  5""x5"" 12 Sheets",1,0,-0.3,-4.04,34.95
25-Apr-22,12-08550-75082,47.33,Hu-Friedy Signature Series Cassette Blue Ultrasonic Insert 3 Instrument IM60HU8 ,1,0,-0.3,-6.35,54.95
24-Apr-22,09-08549-68012,195.9,Dymo LabelWriter 450 Twin Turbo Direct Thermal Printer USB 1750160 w/ Cords,1,0,-0.3,-23.75,219.95
21-Apr-22,14-08538-12498,71.02,PolyMem WIC 3 x 3 in Silver Cavity Wound Filler Ref # 1333 Box of 10,1,0,-0.3,-8.63,79.95
21-Apr-22,08-08537-52553,30.88,Prestige Medical Veterinary Clinical I Stethoscope Stainless Steel Blue Aqua 126,1,0,-0.3,-3.77,34.95
19-Apr-22,15-08531-14436,349.86,"Philips C8-4v Endocavity Ultrasound Transducer for IU22, IE33",1,0,-0.3,-43.19,399.95
19-Apr-22,24-08542-95339,35.02,Alpha Omega STR-000642-55 Neuro Omega Electrode Cable 5 Channels Exp: 05-12-2022,1,0,-0.3,-4.63,39.95
19-Apr-22,12-08528-45604,26.04,"Lot of 2 Radifocus Glidewire Angled Stiff GS3506 0.035"" (0.89mm) 150cm length",1,0,-0.3,-3.61,29.95
14-Apr-22,27-08507-81910,"1,347.08",Dentsply Cavitron GEN-138 Prophy Jet Air Polishing Unit w/ Foot Pedal ,1,23.43,-0.3,-176.05,"1,523.43"
13-Apr-22,23-08506-30559,35.84,Adept NeoZoline Jobson Horne Probe 3mm Carbon Fibre Filled Nylon 100 Pack NZ3431,1,11.33,-0.3,-4.46,41.28
13-Apr-22,04-08508-41085,30.61,"Henry Schein Thermo-Forming Material Clear Mouthguard .150""  5""x5"" 12 Sheets",1,0,-0.3,-4.04,34.95
12-Apr-22,18-08501-00787,105.83,"Viscot Medical Mini XL Pre-Surgical Skin Marker, Model 1450XL 50 Pens",3,0,-0.3,-13.72,119.85
10-Apr-22,07-08497-72361,48.27,Hu-Friedy Signature Series Cassette Blue Ultrasonic Insert 3 Instrument IM60HU8 ,1,0,-0.3,-6.38,54.95
10-Apr-22,07-08496-75366,139.29,Leitz Ortholux Microscope Darkfield Condenser D1.20 A,1,30,-0.3,-17.66,159.95
8-Apr-22,03-08490-89781,34.96,"Viscot Medical Mini XL Pre-Surgical Skin Marker, Model 1450XL 50 Pens",1,0,-0.3,-4.69,39.95
7-Apr-22,17-08479-55531,35,"Viscot Medical Mini XL Pre-Surgical Skin Marker, Model 1450XL 50 Pens",1,0,-0.3,-4.65,39.95
5-Apr-22,09-08473-93648,6.76,Respironics Ball & Socket Swivel Headgear Clips for Comfort Series Masks 2 pack,1,0,-0.3,-0.93,7.99
4-Apr-22,12-08470-14233,105.52,"Plasdent CSR1515 Autoclave CSR Sterilization Wraps 15 "" x 15"" Blue 500/Pk",2,0,-0.3,-14.08,119.9
3-Apr-22,23-08463-71533,68.83,Lot of 5 PrecisionPoint Transperineal Access System Single Use P1001,2,0,-0.3,-9.34,79.9
1-Apr-22,24-08469-81056,135.89,"Viscot Medical Mini XL Pre-Surgical Skin Marker, Model 1450XL 50 Pens",4,0,-0.3,-20.76,159.8
