Transaction creation date,Order number,Net amount,Item title,Quantity,Shipping and handling,Final Value Fee - fixed,Final Value Fee - variable,Gross transaction amount
30-Aug-20,18-05649-91559,33.63,Smurfs Twin Flat Fitted Sheet Set Lawtex Vintage Bedding 2 pc Material Crafts,1,10.9,-0.3,-3.92,37.85
29-Aug-20,03-05648-66804,12.56,Disney's Frozen Elsa Insulated Travel Mug with Lid BPA-Free Purple and Blue Snow,1,0,-0.3,-1.49,14.35
29-Aug-20,18-05643-14371,10.01,Mary Kay Mineral Powder Foundation Ivory 0.5 NIB .28 oz,1,0,-0.3,-1.34,11.65
28-Aug-20,19-05639-40158,17.18,Rock & Republic Men's Cardigan Zip Front Sweater Gray Snap Pockets Sz Large,1,0,-0.3,-2.27,19.75
26-Aug-20,23-05629-40261,97.33,Endo-Flush Pump Model EFP250 Includes Power Cable,1,18.95,-0.3,-11.27,108.9
26-Aug-20,22-05628-82600,19.83,Logitech L-LN13 Charging Dock for MX Revolution Wireless Mouse,1,0,-0.3,-2.32,22.45
21-Aug-20,14-05604-05425,10.44,DC Comics WONDER WOMAN Kids Bucket Hat Blue w/ White Stars One Size New w/ Tags!,1,0,-0.3,-1.24,11.98
20-Aug-20,09-05599-54417,104.15,Crestron CP2E Control Processor with Ethernet and Phoenix Connectors,1,24.2,-0.3,-9.7,114.15
20-Aug-20,19-05597-76558,89.31,"Covidien Polysorb Braided Absorbable 5-0 30"" 75cm Undyed #C-13 SL-690 36 Count",1,0,-0.3,-10.34,99.95
19-Aug-20,04-05595-54060,17.59,Genuine Dell Laptop Charger AC Adapter Power Supply FA90PE1-00 CM889 19.5V 90W,1,0,-0.3,-2.06,19.95
19-Aug-20,11-05594-50480,80.06,Vintage Sony AM-FM Table Radio High Fidelity Model No. ICF-9650W Sim Walnut,1,17.87,-0.3,-7.46,87.82
19-Aug-20,20-05591-74395,20.27,Victoria Secret Perfect Shape Grey and Beige Push Up Bra Size 34 DD,1,0,-0.3,-2.38,22.95
15-Aug-20,01-05574-32506,14,World's Smallest Coolest Polaroid Land Camera Keychain Rainbow Stripe,1,0,-0.3,-1.65,15.95
14-Aug-20,07-05564-73297,194.4,"(1) OPOCR3020L Abbott LAMINAR Flow Phaco Tip, 20G, 30° Curved w/ Infusion Sleeve",4,0,-0.3,-25.3,220
13-Aug-20,15-05563-12318,13.82,Disney's Frozen Elsa Insulated Travel Mug with Lid BPA-Free Purple and Blue Snow,1,0,-0.3,-1.83,15.95
13-Aug-20,25-05562-04334,15.59,Genuine Dell Laptop Charger AC Adapter Power Supply FA65NE1-00 TN800 PA-2E 65W ,1,0,-0.3,-2.06,17.95
13-Aug-20,24-05570-63286,31.55,"Vintage 70s Fabric Green Brown Cream Stripe Stiff Burlap Feel 54"" x 55""",1,20,-0.3,-4.14,35.99
12-Aug-20,23-05555-40277,141.26,Welch Allyn 420 Series Spot Vital Signs Monitor Version One Needs Battery,1,0,-0.3,-18.39,159.95
12-Aug-20,03-05556-69886,108.73,Beckman 40 pH Meter 95 - 250V .03A 60Hz Potentiometric Measurement AC Line Power,1,23.25,-0.3,-14.17,123.2
12-Aug-20,12-05555-90320,88.2,"(1) OPOCR3020L Abbott LAMINAR Flow Phaco Tip, 20G, 30° Curved w/ Infusion Sleeve",5,0,-0.3,-11.5,100
11-Aug-20,03-05550-83818,20.14,BUNN Coffee Maker 10 Cup Glass Carafe NCD-B,1,13.25,-0.3,-2.66,23.1
11-Aug-20,21-05549-31098,36.11,New Sencor Hand Blender 250 Watt 2 Speed Yellow Stick Blender SHB 3326YL,1,23.15,-0.3,-4.73,41.14
10-Aug-20,27-05545-78564,19.57,Partylite Forest Friends Candle Holder P8618 Brown Square Pine Trees Rustic New,1,0,-0.3,-2.58,22.45
10-Aug-20,07-05547-90299,31.52,(50) Non-Latex Biogel Skinsense Synthetic Polychloroprene Surgical Gloves Size 6,1,0,-0.3,-4.13,35.95
10-Aug-20,12-05545-33720,161.21,MRS H WINTER Womens Sz Small Poncho Batwing Jacket Rare Silk Cotton Multi-Color,1,11.55,-0.3,-20.99,182.5
